Nev,PartnerId,CimId,IsSzekhely,IsSzamlazasiCim,IsSzallitasiCim,Bankszamlaszam,KulsoId,IsIrasvedett,IsFizetesHitelSzamla,Id,FId,Dt,EFId,EDt,Verzio,D,Partner.Nev,Partner.RovidNev,Partner.Kod,Partner.KAdoalanyTipus,Partner.Adoszam,Partner.Cegjegyzekszam,Partner.FelirAzonosito,Partner.IsVevo,Partner.IsSzallito,Partner.IsKulfoldi,Partner.IsEUTag,Partner.AlapertelmezettFizetesiModId,Partner.IsTiltva,Partner.KulsoId,Partner.KulsoEDt,Partner.IsIrasvedett,Partner.ListPartnerCsoportId,Partner.KAdoalanyTipusNev,Partner.Id,Partner.FId,Partner.Dt,Partner.EFId,Partner.EDt,Partner.Verzio,Partner.D,Partner.Megjegyzes,Cim.TelepulesId,Cim.KozteruletNev,Cim.KozteruletJellegId,Cim.Hazszam,Cim.Epulet,Cim.Lepcsohaz,Cim.Szint,Cim.Ajto,Cim.Hrsz,Cim.D,Cim.Telepules.Iranyitoszam,Cim.Telepules.Nev,Cim.Telepules.OrszagId,Cim.Telepules.Id,Cim.Telepules.FId,Cim.Telepules.Dt,Cim.Telepules.EFId,Cim.Telepules.EDt,Cim.Telepules.Verzio,Cim.Telepules.D,Cim.KozteruletJelleg.Nev,Cim.KozteruletJelleg.MegjelenitesiSorrend,Cim.KozteruletJelleg.Id,Cim.KozteruletJelleg.FId,Cim.KozteruletJelleg.Dt,Cim.KozteruletJelleg.EFId,Cim.KozteruletJelleg.EDt,Cim.KozteruletJelleg.Verzio,Cim.KozteruletJelleg.D,Cim.FormazottCim,Cim.Id,Cim.FId,Cim.Dt,Cim.Verzio,KulsoEDt,Megjegyzes,KapcsolattartoNev,KapcsolattartoTelefonszam,KapcsolattartoEmail,KapcsolattartoFax,JovedekiEngedelyszam,MukodesiEngedelyszam,Partner.AlapertelmezettFizetesiHataridoId,Partner.EgyeniVallalkozoNyilvantartasiSzam
Jégtrade Kft.,1021885,1237203,True,True,True,10300002-10540651-49020010,1006208,False,False,1237204,1019477,2022-09-15T18:12:49,1019477,2025-04-01T13:26:12.458665,36374268,0,Jégtrade Kft.,Jégtrade Kft.,1000074,0,10828694-2-13,13-09-066688,AA2662196,False,True,False,False,1005833.0,False,1034141,2021-08-31T06:20:26.803349,False,[],Cég,1021885,1019477,2022-09-15T11:58:56,1019477,2025-03-14T15:10:31.015252,35481251,0,S01031,1001737,Ecseri,1005741,,,,,,0127/15/A,0,2220,Vecsés,1001210,1001737,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002535,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"2220 Vecsés, Ecseri út ",1237203,1019477,2022-09-15T18:12:49,33451844,,,,,,,,,,
Kapos Ternero Kft,1021886,1237205,True,True,True,10918001-00000036-92550000,1006245,False,False,1237206,1019477,2022-09-15T18:12:49,1019477,2025-04-01T13:26:12.689056,36374269,0,Kapos Ternero Kft,Kapos Ternero Kft,1000075,0,11234449-2-14,14-09-301615,AA0028910,False,True,False,False,1005833.0,False,1034163,2024-03-12T08:47:19.935083,False,[],Cég,1021886,1019477,2022-09-15T11:58:57,1019477,2025-03-14T15:10:31.26426,35481441,0,S05232,1003882,Bárd,1005743,98,B,,,,,0,7478,Bárdudvarnok,1001210,1003882,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004680,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"7478 Bárdudvarnok, Bárd utca 98 B",1237205,1019477,2022-09-15T18:12:49,33451845,,,,,,,,,,
Kiss és Társai Kft.,1021887,1237207,True,True,True,12062003-00132357-00100000,1005900,False,False,1237208,1019477,2022-09-15T18:12:49,1019477,2025-04-01T13:26:12.93423,36374270,0,Kiss és Társai Kft.,Kiss és Társai Kft.,1000076,0,11570576-2-13,13-09-129196,AA0141804,False,True,False,False,1005833.0,False,1034183,2022-12-23T08:27:22.437876,False,[],Cég,1021887,1019477,2022-09-15T11:58:57,1019477,2025-03-14T15:10:31.521985,35481457,0,S00262,1001733,Kossuth Lajos,1005743,9,,,,,,0,2214,Pánd,1001210,1001733,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002531,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2214 Pánd, Kossuth Lajos utca 9",1237207,1019477,2022-09-15T18:12:49,33451846,,,,,,,,,,
Kometa 99,1021888,1237209,True,True,True,10918001-00000004-16300037,1005702,False,False,1237210,1019477,2022-09-15T18:12:49,1019477,2025-04-01T13:26:13.203407,36374271,0,Kometa 99,Kometa 99,1000077,0,13749619-2-14,14-10-300239,AA0073550,False,True,False,False,1005833.0,False,1034195,2022-01-24T13:30:10.277439,False,[],Cég,1021888,1019477,2022-09-15T11:58:57,1019477,2025-03-14T15:10:31.750271,35481463,0,S01041,1003832,Pécsi,1005743,67-69,,,,,,0,7400,Kaposvár,1001210,1003832,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004630,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"7400 Kaposvár, Pécsi utca 67-69",1237209,1019477,2022-09-15T18:12:49,33451847,,,,,,,,,,
Kőröstej Kft.,1021889,1237211,True,True,True,11993805-06300580,1005762,False,False,1237212,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:13.434602,36374272,0,Kőröstej Kft.,Kőröstej Kft.,1000078,0,10637959-2-44,13-09-064316,AA0066956,False,True,False,False,1005833.0,False,1034203,2021-08-31T06:20:26.803349,False,[],Cég,1021889,1019477,2022-09-15T11:58:57,1019477,2025-03-14T15:10:32.053016,35482312,0,S01123,1001984,Abonyi,1005743,2,,,,,,0,2745,Kőröstetétlen,1001210,1001984,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002782,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2745 Kőröstetétlen, Abonyi utca 2",1237211,1019477,2022-09-15T18:12:50,33451848,,,,,,,,,,
Kunság Szesz Zrt.,1021890,1237213,True,True,True,10400621-06200923,1006331,False,False,1237214,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:13.678188,36374273,0,Kunság Szesz Zrt.,Kunság Szesz Zrt.,1000079,0,13143233-2-03,03-10-100458,AA0169365,False,True,False,False,1005833.0,False,1034219,2021-08-31T06:20:26.803349,False,[],Cég,1021890,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:32.319574,35482345,0,S00093,1003414,Bánffy,1005743,37,,,,,,0,6200,Kiskőrös,1001210,1003414,0,2022-09-13T14:59:33,0,2022-09-13T14:59:33,1004212,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"6200 Kiskőrös, Bánffy utca 37",1237213,1019477,2022-09-15T18:12:50,33451890,,,,,,,,,,
Lactalis Hungária Kft.,1021891,1237215,True,True,True,13100007-02510130-00713483,1006913,False,False,1237216,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:13.917196,36374274,0,Lactalis Hungária Kft.,Lactalis Hungária Kft.,1000080,0,13861685-2-41,01-09-877110,AA2686518,False,True,False,False,1005833.0,False,1034233,2021-08-31T06:20:26.803349,False,[],Cég,1021891,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:32.671171,35482360,0,S01763,1001537,Váci,1005741,182,,,,,,0,1138,Budapest,1001210,1001537,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002335,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1138 Budapest, Váci út 182",1237215,1019477,2022-09-15T18:12:50,33451930,,,,,,,,,,
Latinum ZRt.,1021892,1237217,True,True,True,10918001-00000037-23170005,1006058,False,False,1237218,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:14.204213,36374275,0,Latinum ZRt.,Latinum ZRt.,1000081,0,13598970-2-13,13-10-040869,AA0091550,False,True,False,False,1005833.0,False,1034243,2021-08-31T06:20:26.803349,False,[],Cég,1021892,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:32.956762,35482840,0,S01152,1001757,Leshegy,1005743,,,,,,12217/7,0,2310,Szigetszentmiklós,1001210,1001757,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002555,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2310 Szigetszentmiklós, Leshegy utca ",1237217,1019477,2022-09-15T18:12:50,33451849,,,,,,,,,,
Laufer és Társa Bt.,1021893,1237219,True,True,True,12010367-01211440-00100004,1006531,False,False,1237220,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:14.445554,36374276,0,Laufer és Társa Bt.,Laufer és Társa Bt.,1000082,0,20715603-2-41,01-06-734052,,False,True,False,False,1005833.0,False,1034245,2021-08-31T06:20:26.803349,False,[],Cég,1021893,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:33.26265,35483361,0,S06613,1001451,Nánási,1005741,2,C,,1,28,,0,1031,Budapest,1001210,1001451,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002249,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1031 Budapest, Nánási út 2 C 1 28",1237219,1019477,2022-09-15T18:12:50,33451891,,,,,,,,,,
LM Land Kft.,1021895,1237221,True,True,True,12010879-01059951-00100005,1000353,False,False,1237222,1019477,2022-09-15T18:12:50,1019477,2024-06-12T07:00:23.758459,35483410,0,LmLand K. Kft.,LmLand K. Kft.,1000084,0,12144286-2-13,13-09-154168,,False,True,False,False,1005833.0,False,1034267,2021-08-31T06:20:26.803349,False,[],Cég,1021895,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:33.835425,35483409,0,S01048,1001911,Petőfi,1005743,16,,,,,,0,2636,Tésa,1001210,1001911,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002709,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2636 Tésa, Petőfi utca 16",1237221,1019477,2022-09-15T18:12:50,33451931,,,,,,,,,,
Magyar Lapterjesztő Zrt.,1021896,1237223,True,False,False,,1006713,True,False,1237224,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:14.679598,36374277,0,Magyar Lapterjesztő Zrt.,Magyar Lapterjesztő Zrt.,1000085,0,12372041-2-44,01-10- 043804    ,,False,True,False,False,1005833.0,False,1034281,2021-08-31T06:20:26.803349,False,[],Cég,1021896,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:34.111651,35483670,0,S01050,1001505,Táblás,1005743,32,,,,,,0,1097,Budapest,1001210,1001505,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002303,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1097 Budapest, Táblás utca 32",1237223,1019477,2022-09-15T18:12:50,33451932,2025-03-17T21:17:16.599104,,,,,,,,,
Liquid Gold Kereskedelmi és Szolg. Kft,1021894,1237225,True,True,True,11600006-00000000-02975818,1006799,False,False,1237226,1019477,2022-09-15T18:12:50,1019477,2025-04-01T13:26:14.944125,36374278,0,Liquid Gold Kereskedelmi és Szolg. Kft,Liquid Gold Kereskedelmi és Szolg. Kft,1000083,0,12258231-2-43,01-09-569676,AA2646457,False,True,False,False,1005833.0,False,1034259,2021-08-31T06:20:26.803349,False,[],Cég,1021894,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:33.574267,35483392,0,S00270,1001521,Hunyadi János,1005741,1,,,,,,0,1117,Budapest,1001210,1001521,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002319,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1117 Budapest, Hunyadi János út 1",1237225,1019477,2022-09-15T18:12:50,33451892,,,,,,,,,,
Maresi Foodbroker Kereskedelmi Kft.,1021898,1237227,True,True,True,12001008-00112166-00100004,1006822,False,False,1237228,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:15.206698,36374279,0,Maresi Foodbroker Kereskedelmi Kft.,Maresi Foodbroker Kereskedelmi Kft.,1000087,0,10567203-2-43,01-09-076829,AA2671400,False,True,False,False,1005833.0,False,1034291,2021-08-31T06:20:26.803349,False,[],Cég,1021898,1019477,2022-09-15T11:58:58,1019477,2025-03-14T15:10:35.424784,35496406,0,S01053,1001522,Homonna,1005743,2-4,,,,,,0,1118,Budapest,1001210,1001522,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002320,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1118 Budapest, Homonna utca 2-4",1237227,1019477,2022-09-15T18:12:51,33451850,,,,,,,,,,
MASSA Bajna Gesztenye -és Tejfeldolgozó Kft.,1021900,1237229,True,True,True,63200119-14921878,1000370,False,False,1237230,1019477,2022-09-15T18:12:51,1019477,2024-06-12T07:00:12.703596,35497277,0,MASSA Bajna Gesztenye -és Tejfeldolgozó Kft.,MASSA Bajna Gesztenye -és Tejfeldolgozó Kft.,1000089,0,12751246-2-11,11-09-008448,AA0491217,False,True,False,False,1005833.0,False,1034301,2021-08-31T06:20:26.803349,False,[],Cég,1021900,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:35.961783,35497276,0,S01346,1001866,Klapka György,1005743,7,,,,,,0,2525,Bajna,1001210,1001866,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002664,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2525 Bajna, Klapka György utca 7",1237229,1019477,2022-09-15T18:12:51,33451933,,,,,,,,,,
Master Good Kft.,1021901,1237231,True,True,True,11600006-00000000-83580602,1007255,False,False,1237232,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:15.452459,36374280,0,Master Good Kft.,Master Good Kft.,1000090,0,12467037-2-15,15-09-066318,AA0050072,False,True,False,False,1005833.0,False,1034303,2021-08-31T06:20:26.803349,False,[],Cég,1021901,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:36.241057,35497293,0,S01055,1003010,Ipari,1005741,9,,,,,,0,4600,Kisvárda,1001210,1003010,0,2022-09-13T14:59:33,0,2022-09-13T14:59:33,1003808,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"4600 Kisvárda, Ipari út 9",1237231,1019477,2022-09-15T18:12:51,33451934,,,,,,,,,,
Mazsi Kft,1021902,1237233,True,True,True,12025000-00159121-00100004,1005542,False,False,1237234,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:15.720929,36374281,0,Mazsi Kft,Mazsi Kft,1000091,0,13343835-2-11,11-09-010309,AA0091202,False,True,False,False,1005833.0,False,1034313,2021-08-31T06:20:26.803349,False,[],Cég,1021902,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:36.501111,35497297,0,S01140,1001855,Retek,1005743,2,,,,,,0,2509,Esztergom,1001210,1001855,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002653,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2509 Esztergom, Retek utca 2",1237233,1019477,2022-09-15T18:12:51,33451893,,,,,,,,,,
Medaqua Kft.,1021904,1237235,True,True,True,10103551-04571000-01003007,1005590,False,False,1237236,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:16.039125,36374282,0,Medaqua Kft.,Medaqua Kft.,1000093,0,11949497-2-10,10-09-023989,AA0038348,False,True,False,False,1005833.0,False,1034321,2021-08-31T06:20:26.803349,False,[],Cég,1021904,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:37.110546,35497904,0,SA0202,1002183,Keleti Karácsondi,1005667,1,,,,,,0,3200,Gyöngyös,1001210,1002183,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002981,0,köz,6,1005667,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006465,0,"3200 Gyöngyös, Keleti Karácsondi köz 1",1237235,1019477,2022-09-15T18:12:51,33451851,,,,,,,,,,
Medikémia Zrt,1021905,1237237,True,True,True,10402805-28036016,1007510,False,False,1237238,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:16.322182,36374285,0,Medikémia Zrt,Medikémia Zrt,1000094,0,11081210-2-06,06-10-000063,,False,True,False,False,1005833.0,False,1034323,2021-08-31T06:20:26.803349,False,[],Cég,1021905,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:37.34102,35497918,0,S01155,1003540,Zsámbokréti,1005713,1,A,,,,,0,6728,Szeged,1001210,1003540,0,2022-09-13T14:59:34,0,2022-09-13T14:59:34,1004338,0,sor,4,1005713,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006511,0,"6728 Szeged, Zsámbokréti sor 1 A",1237237,1019477,2022-09-15T18:12:51,33451894,,,,,,,,,,
Merian Foods Élelmiszeripari Kft.,1021906,1237239,True,True,True,10918001-00000088-29120002,1006362,False,False,1237240,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:16.627787,36374286,0,Merian Foods Élelmiszeripari Kft.,Merian Foods Élelmiszeripari Kft.,1000095,0,14704336-2-04,04-09-008933,AA0162065,False,True,False,False,1005833.0,False,1034329,2022-12-23T08:25:43.932916,False,[],Cég,1021906,1019477,2022-09-15T11:58:59,1019477,2025-03-14T15:10:37.598415,35498024,0,S00824,1003337,Szarvasi,1005743,16,,,,,,0,5900,Orosháza,1001210,1003337,0,2022-09-13T14:59:33,0,2022-09-13T14:59:33,1004135,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"5900 Orosháza, Szarvasi utca 16",1237239,1019477,2022-09-15T18:12:51,33451852,,,,,,,,,,
Milla Healthy Food Kft.,1021907,1237241,True,True,True,10103874-88870700-01004009,1006039,False,False,1237242,1019477,2022-09-15T18:12:51,1019477,2025-04-01T13:26:16.860896,36374287,0,Milla Healthy Food Kft.,Milla Healthy Food Kft.,1000096,0,25794630-2-13,13-09-183787,AA5931828,False,True,False,False,1005833.0,False,1034341,2022-12-23T08:22:48.727586,False,[],Cég,1021907,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:37.870703,35498339,0,S06730,1001597,Tiszteletes,1005743,8,,,,,,0,2000,Szentendre,1001210,1001597,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002395,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2000 Szentendre, Tiszteletes utca 8",1237241,1019477,2022-09-15T18:12:51,33451935,,,,,,,,,,
Mirelite Mirsa Zrt.,1021908,1237243,True,True,True,10402506-50526588-69881009,1000391,False,False,1237244,1019477,2022-09-15T18:12:52,1019477,2024-06-12T07:00:16.483588,35498382,0,Mirelite Mirsa Zrt.,Mirelite Mirsa Zrt.,1000097,0,10475100-4-13,13-10-040030,AA2684819,False,True,False,False,1005833.0,False,1034343,2021-08-31T06:20:26.803349,False,[],Cég,1021908,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:38.131206,35498381,0,S01059,1001967,Baross,1005743,78,,,,,,0,2700,Cegléd,1001210,1001967,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002765,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2700 Cegléd, Baross utca 78",1237243,1019477,2022-09-15T18:12:52,33451895,,,,,,,,,,
Mir-Ker Kft.,1021909,1237245,False,True,True,10700031-04318608-51100005,1000392,True,False,1237246,1019477,2022-09-15T18:12:52,1019477,2025-03-20T13:35:03.378295,36063364,0,Mir-Ker Kft.,Mir-Ker Kft,1000098,0,11405337-2-08,08-09-005316,AA0445463,False,True,False,True,,False,1034345,2021-09-01T13:03:15.494,True,[],Cég,1021909,1019477,2022-09-15T11:59:00,1019477,2025-03-20T13:35:02.904694,36061752,0,,1005048,Schwarzenberg,1005743,2-4,,,,,,0,9022,Győr,1001210,1005048,0,2022-09-13T14:59:36,0,2022-09-13T14:59:36,1005846,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"9022 Győr, Schwarzenberg utca 2-4",1237245,1019477,2022-09-15T18:12:52,33451853,2021-08-31T06:43:03.595796,,,,,,,,,
Mogyi Kft.,1021910,1237247,False,True,True,10402513-25110986,1000395,True,False,1237248,1019477,2022-09-15T18:12:52,1019477,2025-03-20T13:35:03.036984,36062471,0,Mogyi Kft.,Mogyi Kft.,1000099,0,10411030-2-03,03-09-110186,AA0038078 ,False,True,False,False,1005833.0,False,1034353,2021-08-31T06:20:26.803349,False,[],Cég,1021910,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:38.705933,35500012,0,S00230,1003474,Petőfi Sándor,1005743,29,,,,,,0,6448,Csávoly,1001210,1003474,0,2022-09-13T14:59:33,0,2022-09-13T14:59:33,1004272,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"6448 Csávoly, Petőfi Sándor utca 29",1237247,1019477,2022-09-15T18:12:52,33451936,2021-08-31T06:43:03.595796,,,,,,,,,
Nádudvari Élelmiszer Kft,1021911,1237249,True,True,True,11738008-20850735,1007301,False,False,1237250,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:17.635741,36374290,0,Nádudvari Élelmiszer Kft,Nádudvari Élelmiszer Kft,1000100,0,11156026-2-09,09-09-003140,AA0159094,False,True,False,False,1005833.0,False,1034371,2021-08-31T06:20:26.803349,False,[],Cég,1021911,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:38.990305,35501075,0,S01144,1002837,Gutenberg,1005743,1,,,,,,0,4181,Nádudvar,1001210,1002837,0,2022-09-13T14:59:32,0,2022-09-13T14:59:32,1003635,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"4181 Nádudvar, Gutenberg utca 1",1237249,1019477,2022-09-15T18:12:52,33451896,,,,,,,,,,
Naszálytej Zrt.,1021912,1237251,True,True,True,10402764-49545748-56571000,1006183,False,False,1237252,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:17.882638,36374291,0,Naszálytej Zrt.,Naszálytej Zrt.,1000101,0,12031304-2-13,13-10-040288,AA0059914,False,True,False,False,1005833.0,False,1034381,2021-08-31T06:20:26.803349,False,[],Cég,1021912,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:39.253155,35501625,0,S01063,1001883,Deákvári,1005626,10,,,,,,0,2600,Vác,1001210,1001883,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002681,0,fasor,999,1005626,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006424,0,"2600 Vác, Deákvári fasor 10",1237251,1019477,2022-09-15T18:12:52,33451854,,,,,,,,,,
Nektária Kft.,1021913,1237253,True,True,True,16200106-11555494-00000000,1006047,False,False,1237254,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:18.151057,36374292,0,Nektária Kft.,Nektária Kft.,1000102,0,24082022-2-13,13-09-179810,AA2766416,False,True,False,False,1005833.0,False,1034391,2021-08-31T06:20:26.803349,False,[],Cég,1021913,1019477,2022-09-15T11:59:00,1019477,2025-03-14T15:10:39.509683,35501904,0,S05231,1001606,Köztársaság,1005743,9,,,,,,0,2015,Szigetmonostor,1001210,1001606,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002404,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"2015 Szigetmonostor, Köztársaság utca 9",1237253,1019477,2022-09-15T18:12:52,33451937,,,,,,,,,,
Nestlé Hungária Kft.,1021915,1237255,True,True,True,10700024-02566506-51100005,1006691,False,False,1237256,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:18.393525,36374293,0,Nestlé Hungária Kft.,Nestlé Hungária Kft.,1000104,0,10571086-2-44,01-09-267926,AA0081739,False,True,False,False,1005833.0,False,1034395,2021-08-31T15:54:21.811716,False,[],Cég,1021915,1019477,2022-09-15T11:59:01,1019477,2025-03-14T15:10:39.985794,35502012,0,S00142,1001503,Lechner Ödön,1005626,,,,,,,0,1095,Budapest,1001210,1001503,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002301,0,fasor,999,1005626,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006424,0,"1095 Budapest, Lechner Ödön fasor ",1237255,1019477,2022-09-15T18:12:52,33451855,,,,,,,,,,
Nyerthús ,1021917,1237257,True,True,True,11704021-21448791,1006869,False,False,1237258,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:18.636801,36374294,0,Nyerthús ,Nyerthús ,1000106,0,13356363-2-41,01-09-895603,AA2746076,False,True,False,False,1005833.0,False,1034415,2021-08-31T06:20:26.803349,False,[],Cég,1021917,1019477,2022-09-15T11:59:01,1019477,2025-03-14T15:10:40.474988,35502026,0,S04164,1001530,Topolya,1005743,4-8,,,,,,0,1131,Budapest,1001210,1001530,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002328,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"1131 Budapest, Topolya utca 4-8",1237257,1019477,2022-09-15T18:12:52,33451897,,,,,,,,,,
Oriental Herbs Kft.,1021919,1237259,True,True,True,11600006-00000000-12597880,1006742,False,False,1237260,1019477,2022-09-15T18:12:52,1019477,2025-04-01T13:26:18.908451,36374295,0,Oriental Herbs Kft.,Oriental Herbs Kft.,1000108,0,10978263-2-42,01-09-36-5466,AA0082404,False,True,False,False,1005833.0,False,1034423,2021-08-31T06:20:26.803349,False,[],Cég,1021919,1019477,2022-09-15T11:59:01,1019477,2025-03-14T15:10:41.013836,35502081,0,S02411,1001512,Keresztúri,1005741,176-178,,,,,,0,1106,Budapest,1001210,1001512,0,2022-09-13T14:59:31,0,2022-09-13T14:59:31,1002310,0,út,2,1005741,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006539,0,"1106 Budapest, Keresztúri út 176-178",1237259,1019477,2022-09-15T18:12:52,33451938,,,,,,,,,,
Ostorosbor Zrt.,1021920,1237261,True,True,True,10403507-35002017,1005893,False,False,1237262,1019477,2022-09-15T18:12:53,1019477,2025-04-01T13:26:19.156855,36374296,0,Ostorosbor Zrt.,Ostorosbor Zrt.,1000109,0,12512852-2-10,10-10-020201,AA0171346,False,True,False,False,1005833.0,False,1034429,2021-09-01T12:49:33.700462,False,[],Cég,1021920,1019477,2022-09-15T11:59:01,1019477,2025-03-14T15:10:41.24954,35502085,0,S00076,1002244,Nagyvölgy,1005743,2,,,,,,0,3326,Ostoros,1001210,1002244,0,2022-09-13T14:59:32,0,2022-09-13T14:59:32,1003042,0,utca,1,1005743,0,2022-09-13T14:59:38,0,2022-09-13T14:59:38,1006541,0,"3326 Ostoros, Nagyvölgy utca 2",1237261,1019477,2022-09-15T18:12:53,33451856,,,,,,,,,,
